16509;130.137.78.0;24;0:00:48;1555286429;1555286477;['16509'];0
16509;130.137.89.0;24;0:00:49;1555286459;1555286508;['16509', '14618'];0
16509;130.137.90.0;24;0:00:45;1555286464;1555286509;['16509'];0
16509;130.137.78.0;24;0:00:40;1555286726;1555286766;['16509'];0
16509;130.137.89.0;24;0:00:45;1555286756;1555286801;['16509', '14618'];0
16509;130.137.90.0;24;0:00:38;1555286772;1555286810;['16509'];0
16509;130.137.78.0;24;0:00:46;1555290030;1555290076;['16509'];0
16509;130.137.89.0;24;0:00:45;1555290062;1555290107;['16509', '14618'];0
16509;130.137.90.0;24;0:00:46;1555290063;1555290109;['16509'];0
16509;130.137.78.0;24;0:00:42;1555290326;1555290368;['16509'];0
16509;130.137.89.0;24;0:00:46;1555290356;1555290402;['16509', '14618'];0
16509;130.137.90.0;24;0:00:37;1555290364;1555290401;['16509'];0
16509;130.137.78.0;24;0:00:44;1555293630;1555293674;['16509'];0
16509;130.137.89.0;24;0:00:44;1555293659;1555293703;['16509', '14618'];0
16509;130.137.90.0;24;0:00:40;1555293668;1555293708;['16509'];0
16509;130.137.78.0;24;0:00:55;1555293925;1555293980;['16509'];0
16509;130.137.89.0;24;0:00:47;1555293956;1555294003;['16509', '14618'];0
16509;130.137.90.0;24;0:00:38;1555293965;1555294003;['16509'];0
16509;130.137.78.0;24;0:00:49;1555297226;1555297275;['16509'];0
16509;130.137.78.0;24;0:00:52;1555297529;1555297581;['16509'];0
16509;130.137.89.0;24;0:00:45;1555297553;1555297598;['16509', '14618'];0
16509;130.137.90.0;24;0:00:47;1555297562;1555297609;['16509'];0
16509;130.137.78.0;24;0:00:46;1555300830;1555300876;['16509'];0
16509;130.137.90.0;24;0:00:45;1555300860;1555300905;['16509'];0
16509;130.137.89.0;24;0:00:49;1555300860;1555300909;['16509', '14618'];0
16509;130.137.78.0;24;0:00:46;1555301125;1555301171;['16509'];0
16509;130.137.89.0;24;0:00:46;1555301154;1555301200;['16509', '14618'];0
16509;130.137.90.0;24;0:00:40;1555301170;1555301210;['16509'];0
16509;130.137.78.0;24;0:00:44;1555304428;1555304472;['16509'];0
16509;130.137.89.0;24;0:00:46;1555304452;1555304498;['16509', '14618'];0
16509;130.137.90.0;24;0:00:39;1555304465;1555304504;['16509'];0
16509;130.137.78.0;24;0:00:47;1555304729;1555304776;['16509'];0
16509;130.137.89.0;24;0:00:46;1555304759;1555304805;['16509', '14618'];0
16509;130.137.90.0;24;0:00:46;1555304768;1555304814;['16509'];0
16509;130.137.78.0;24;0:00:42;1555308023;1555308065;['16509'];0
16509;130.137.90.0;24;0:00:47;1555308063;1555308110;['16509'];0
16509;130.137.89.0;24;0:00:47;1555308067;1555308114;['16509', '14618'];0
16509;130.137.78.0;24;0:00:42;1555308333;1555308375;['16509'];0
16509;130.137.89.0;24;0:00:45;1555308353;1555308398;['16509', '14618'];0
16509;130.137.90.0;24;0:00:45;1555308364;1555308409;['16509'];0
16509;130.137.78.0;24;0:00:48;1555311624;1555311672;['16509'];0
16509;130.137.89.0;24;0:00:45;1555311655;1555311700;['16509', '14618'];0
16509;130.137.90.0;24;0:00:43;1555311659;1555311702;['16509'];0
16509;130.137.78.0;24;0:00:48;1555311926;1555311974;['16509'];0
16509;130.137.89.0;24;0:00:50;1555311957;1555312007;['16509', '14618'];0
16509;130.137.90.0;24;0:00:41;1555311961;1555312002;['16509'];0
16509;130.137.78.0;24;0:00:50;1555315226;1555315276;['16509'];0
16509;130.137.89.0;24;0:05:46;1555315259;1555315605;['16509', '14618'];0
16509;130.137.90.0;24;0:05:43;1555315266;1555315609;['16509'];0
16509;130.137.78.0;24;0:00:47;1555315525;1555315572;['16509'];0
16509;130.137.78.0;24;0:00:41;1555318823;1555318864;['16509'];0
16509;130.137.89.0;24;0:00:46;1555318854;1555318900;['16509', '14618'];0
16509;130.137.90.0;24;0:00:48;1555318862;1555318910;['16509'];0
16509;130.137.78.0;24;0:00:49;1555319125;1555319174;['16509'];0
16509;130.137.89.0;24;0:00:49;1555319154;1555319203;['16509', '14618'];0
